tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
2755,04:00.1,49:56.0,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,32975,Customer,2001,1,7/1/2020,7/1/2020
734,09:09.2,21:23.6,439,E 4 St & 2 Ave,40.7262807,-73.98978041,285,Broadway & E 14 St,40.73454567,-73.99074142,14611,Subscriber,1972,2,7/1/2020,7/1/2020
2104,38:50.8,13:55.4,361,Allen St & Hester St,40.71605866,-73.99190759,415,Pearl St & Hanover Square,40.7047177,-74.00926027,20216,Customer,1990,0,7/1/2020,7/1/2020
101,56:00.4,57:41.7,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,38666,Subscriber,1983,1,7/1/2020,7/1/2020
5913,19:33.2,58:06.5,3823,Beaver St & Fayette St,40.70099,-73.93921,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,35629,Customer,1994,1,7/1/2020,7/1/2020
375,35:04.1,41:20.0,479,9 Ave & W 45 St,40.76019252,-73.9912551,477,W 41 St & 8 Ave,40.75640548,-73.9900262,31177,Customer,1969,0,7/1/2020,7/1/2020
130,35:30.8,37:41.1,310,State St & Smith St,40.68926942,-73.98912867,3402,Court St & State St,40.6902375,-73.99203074,35069,Subscriber,1938,2,7/1/2020,7/1/2020
1271,42:15.4,03:27.3,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3288,E 88 St & 1 Ave,40.778301,-73.9488134,27371,Subscriber,2002,1,7/1/2020,7/1/2020
900,29:15.0,44:15.5,3124,46 Ave & 5 St,40.74731,-73.95451,3554,Vernon Blvd & 41 Rd,40.7552433,-73.9485678,40735,Customer,1969,0,7/1/2020,7/1/2020
857,30:22.4,44:40.1,3232,Bond St & Fulton St,40.68962189,-73.98304269,3232,Bond St & Fulton St,40.68962189,-73.98304269,31393,Customer,1969,0,7/1/2020,7/1/2020
1698,57:22.9,25:41.0,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3617,28 Ave & 35 St,40.7671,-73.9169858,27970,Customer,1996,2,7/1/2020,7/1/2020
4561,11:58.3,28:00.0,3723,Cadman Plaza E & Johnson St,40.69531728,-73.99015725,3723,Cadman Plaza E & Johnson St,40.69531728,-73.99015725,38895,Subscriber,1992,1,7/1/2020,7/1/2020
311,01:11.9,06:23.4,470,W 20 St & 8 Ave,40.74345335,-74.00004031,523,W 38 St & 8 Ave,40.75466591,-73.99138152,40479,Subscriber,1984,1,7/1/2020,7/1/2020
257,06:33.2,10:50.7,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,39415,Customer,1987,2,7/1/2020,7/1/2020
2000,21:11.6,54:32.6,3783,Cliff St & Fulton St,40.70838,-74.00495,3906,West St & Liberty St,40.711444,-74.014847,42852,Subscriber,1970,2,7/1/2020,7/1/2020
381,32:49.8,39:11.7,358,Christopher St & Greenwich St,40.73291553,-74.00711384,334,W 20 St & 7 Ave,40.74238787,-73.99726235,43350,Subscriber,1984,1,7/1/2020,7/1/2020
286,39:07.9,43:53.9,331,Pike St & Monroe St,40.71173107,-73.99193043,350,Clinton St & Grand St,40.71559509,-73.9870295,25959,Subscriber,1984,1,7/1/2020,7/1/2020
366,45:19.7,51:26.3,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,3137,5 Ave & E 73 St,40.77282817,-73.96685276,14869,Subscriber,1986,2,7/1/2020,7/1/2020
1738,45:47.6,14:45.8,315,South St & Gouverneur Ln,40.70355377,-74.00670227,501,FDR Drive & E 35 St,40.744219,-73.97121214,17572,Subscriber,1959,2,7/1/2020,7/1/2020
671,51:25.0,02:36.2,499,Broadway & W 60 St,40.76915505,-73.98191841,3725,2 Ave & E 72 St,40.76876203,-73.95840794,33817,Subscriber,1969,0,7/1/2020,7/1/2020
720,02:51.4,14:52.1,3375,3 Ave & E 72 St,40.7699426,-73.96060712,3282,5 Ave & E 88 St,40.78307,-73.95939,28872,Subscriber,1951,1,7/1/2020,7/1/2020
1202,15:53.4,35:56.2,3156,E 72 St & York Ave,40.76663814,-73.95348296,3357,W 106 St & Amsterdam Ave,40.8008363,-73.96644925,35945,Subscriber,1986,2,7/1/2020,7/1/2020
546,20:29.2,29:35.8,468,Broadway & W 56 St,40.7652654,-73.98192338,519,Pershing Square North,40.751873,-73.977706,40629,Subscriber,1991,2,7/1/2020,7/1/2020
1899,36:37.4,08:16.7,4002,W 144 St & Adam Clayton Powell Blvd,40.820877,-73.939249,3725,2 Ave & E 72 St,40.76876203,-73.95840794,38418,Subscriber,1995,2,7/1/2020,7/1/2020
374,38:10.3,44:25.2,3323,W 106 St & Central Park West,40.7981856,-73.9605909,3295,Central Park W & W 96 St,40.79127,-73.964839,34337,Subscriber,1953,1,7/1/2020,7/1/2020
350,45:14.1,51:04.4,476,E 31 St & 3 Ave,40.74394314,-73.97966069,504,1 Ave & E 16 St,40.73221853,-73.98165557,35060,Subscriber,1969,0,7/1/2020,7/1/2020
525,47:31.2,56:16.9,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,44470,Subscriber,1984,1,7/1/2020,7/1/2020
358,48:17.5,54:16.2,4017,E 138 St & 5 Av,40.81449,-73.936153,3996,Lexington Ave & E 128 St,40.806414,-73.936085,17350,Subscriber,1996,2,7/1/2020,7/1/2020
