tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
1423,36:07.1,59:50.5,3350,W 100 St & Broadway,40.7973721,-73.97041192,514,12 Ave & W 40 St,40.76087502,-74.00277668,31917,Subscriber,1989,1,3/1/2020,3/1/2020
1626,38:25.8,05:32.1,3244,University Pl & E 8 St,40.73143724,-73.99490342,386,Centre St & Worth St,40.71494807,-74.00234482,27428,Customer,1980,1,3/1/2020,3/1/2020
1355,45:33.7,08:09.4,3661,Montgomery St & Franklin Ave,40.66643931,-73.96055639,471,Grand St & Havemeyer St,40.71286844,-73.95698119,35005,Subscriber,1993,1,3/1/2020,3/1/2020
5561,48:03.6,20:45.2,3292,5 Ave & E 93 St,40.7857851,-73.957481,3136,5 Ave & E 63 St,40.766368,-73.971518,30708,Customer,1969,0,3/1/2020,3/1/2020
376,50:52.3,57:08.3,3711,E 13 St & Avenue A,40.72966729,-73.98067966,3708,W 13 St & 5 Ave,40.735445,-73.99431,41793,Subscriber,1974,1,3/1/2020,3/1/2020
359,51:07.5,57:06.9,3071,Boerum St & Broadway,40.70538077,-73.94976519,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,33761,Subscriber,1992,1,3/1/2020,3/1/2020
130,55:10.4,57:21.0,355,Bayard St & Baxter St,40.71602118,-73.99974372,308,St James Pl & Oliver St,40.71307916,-73.99851193,40653,Subscriber,1956,1,3/1/2020,3/1/2020
374,57:10.6,03:24.6,426,West St & Chambers St,40.71754834,-74.01322069,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,41513,Subscriber,1986,1,3/1/2020,3/1/2020
406,57:51.6,04:38.2,3307,West End Ave & W 94 St,40.7941654,-73.974124,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,15902,Subscriber,1982,1,3/1/2020,3/1/2020
912,08:51.4,24:04.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,358,Christopher St & Greenwich St,40.73291553,-74.00711384,41654,Subscriber,1981,1,3/1/2020,3/1/2020
875,09:32.4,24:08.2,342,Columbia St & Rivington St,40.71739973,-73.98016555,3656,E 2 St & Avenue A,40.72307749,-73.98583621,32657,Subscriber,1972,1,3/1/2020,3/1/2020
366,09:39.5,15:46.1,483,E 12 St & 3 Ave,40.73223272,-73.98889957,3656,E 2 St & Avenue A,40.72307749,-73.98583621,36069,Customer,1969,0,3/1/2020,3/1/2020
426,14:27.3,21:33.4,229,Great Jones St,40.72743423,-73.99379025,445,E 10 St & Avenue A,40.72740794,-73.98142006,40107,Subscriber,1994,2,3/1/2020,3/1/2020
1427,14:44.6,38:31.7,311,Norfolk St & Broome St,40.7172274,-73.98802084,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,15187,Customer,1995,2,3/1/2020,3/1/2020
574,15:16.8,24:51.2,3078,Broadway & Roebling St,40.70924826,-73.96063149,3109,Banker St & Meserole Ave,40.72606,-73.95621,40195,Subscriber,1994,1,3/1/2020,3/1/2020
379,16:35.1,22:54.4,164,E 47 St & 2 Ave,40.75323098,-73.97032517,519,Pershing Square North,40.751873,-73.977706,32599,Customer,1993,1,3/1/2020,3/1/2020
2296,18:06.2,56:22.4,3724,7 Ave & Central Park South,40.76674056,-73.97906899,247,Perry St & Bleecker St,40.73535398,-74.00483091,38966,Subscriber,1983,1,3/1/2020,3/1/2020
997,19:53.8,36:31.1,3899,Manhattan Av & Leonard St,40.72084,-73.94844,3122,48 Ave & 5 St,40.74436329,-73.95587325,21262,Subscriber,1976,1,3/1/2020,3/1/2020
220,24:57.8,28:38.2,483,E 12 St & 3 Ave,40.73223272,-73.98889957,325,E 19 St & 3 Ave,40.73624527,-73.98473765,38462,Subscriber,1992,1,3/1/2020,3/1/2020
1867,29:19.9,00:27.8,442,W 27 St & 7 Ave,40.746647,-73.993915,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,40478,Subscriber,1960,2,3/1/2020,3/1/2020
488,33:16.2,41:24.5,439,E 4 St & 2 Ave,40.7262807,-73.98978041,2012,E 27 St & 1 Ave,40.739445,-73.976806,40155,Subscriber,1969,0,3/1/2020,3/1/2020
1075,37:36.5,55:32.2,423,W 54 St & 9 Ave,40.76584941,-73.98690506,362,Broadway & W 37 St,40.75172632,-73.98753523,18392,Customer,1993,2,3/1/2020,3/1/2020
220,45:16.0,48:56.1,483,E 12 St & 3 Ave,40.73223272,-73.98889957,504,1 Ave & E 16 St,40.73221853,-73.98165557,29719,Subscriber,1986,1,3/1/2020,3/1/2020
