tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
375,16:51.6,23:06.8,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3325,E 95 St & 3 Ave,40.7849032,-73.950503,41400,Subscriber,1984,1,2/1/2020,2/1/2020
273,22:02.8,26:36.5,489,10 Ave & W 28 St,40.75066386,-74.00176802,490,8 Ave & W 33 St,40.751551,-73.993934,39040,Subscriber,1995,1,2/1/2020,2/1/2020
866,45:55.7,00:22.5,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,545,E 23 St & 1 Ave,40.736502,-73.97809472,17269,Subscriber,1974,2,2/1/2020,2/1/2020
463,25:57.3,33:40.5,3812,University Pl & E 14 St,40.734814,-73.992085,394,E 9 St & Avenue C,40.72521311,-73.97768752,32072,Subscriber,1999,1,2/1/2020,2/1/2020
944,27:57.4,43:42.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,362,Broadway & W 37 St,40.75172632,-73.98753523,30002,Customer,1997,1,2/1/2020,2/1/2020
328,49:38.6,55:06.8,489,10 Ave & W 28 St,40.75066386,-74.00176802,442,W 27 St & 7 Ave,40.746647,-73.993915,27632,Subscriber,1965,1,2/1/2020,2/1/2020
331,22:02.7,27:33.9,3781,Greene Av & Myrtle Av,40.698568,-73.918877,3896,Madison St & Seneca Ave,40.70183,-73.90625,21333,Subscriber,1991,1,2/1/2020,2/1/2020
757,23:03.7,35:41.4,474,5 Ave & E 29 St,40.7451677,-73.98683077,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,41005,Customer,1999,1,2/1/2020,2/1/2020
204,25:31.0,28:55.0,482,W 15 St & 7 Ave,40.73935542,-73.99931783,496,E 16 St & 5 Ave,40.73726186,-73.99238967,40311,Subscriber,1972,1,2/1/2020,2/1/2020
1871,34:51.3,06:02.3,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,32944,Customer,1998,2,2/1/2020,2/1/2020
1755,48:10.2,17:25.3,439,E 4 St & 2 Ave,40.7262807,-73.98978041,411,E 6 St & Avenue D,40.72228087,-73.97668709,20254,Customer,1994,1,2/1/2020,2/1/2020
197,54:29.7,57:47.5,2009,Catherine St & Monroe St,40.71117444,-73.99682619,386,Centre St & Worth St,40.71494807,-74.00234482,27783,Subscriber,1992,1,2/1/2020,2/1/2020
1113,12:32.9,31:06.7,507,E 25 St & 2 Ave,40.73912601,-73.97973776,3658,W 18 St & 9 Ave,40.74353373,-74.00367558,20842,Subscriber,1974,2,2/1/2020,2/1/2020
160,01:10.9,03:51.1,3711,E 13 St & Avenue A,40.72966729,-73.98067966,326,E 11 St & 1 Ave,40.72953837,-73.98426726,41601,Subscriber,1975,1,2/1/2020,2/1/2020
275,17:20.6,21:56.4,3557,40 Ave & 9 St,40.75742,-73.945133,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,41890,Subscriber,1985,1,2/1/2020,2/1/2020
288,24:02.9,28:50.9,531,Forsyth St & Broome St,40.71893904,-73.99266288,502,Henry St & Grand St,40.714211,-73.981095,27573,Subscriber,1984,1,2/1/2020,2/1/2020
582,41:19.4,51:01.5,3549,Grand Ave & Bergen St,40.678045,-73.962408,3409,Bergen St & Smith St,40.6867443,-73.99063168,39440,Subscriber,1976,2,2/1/2020,2/1/2020
