tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
197,27:48.8,31:05.8,3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,36550,Customer,1969,0,8/1/2020,8/1/2020
658,48:11.7,59:10.0,368,Carmine St & 6 Ave,40.73038599,-74.00214988,358,Christopher St & Greenwich St,40.73291553,-74.00711384,28945,Subscriber,1976,1,8/1/2020,8/1/2020
195,56:37.7,59:53.3,3591,21 St & 31 Dr,40.7659,-73.930819,3612,30 Ave & 21 St,40.7703743,-73.9286078,41651,Subscriber,1994,2,8/1/2020,8/1/2020
4357,01:10.8,13:48.8,3156,E 72 St & York Ave,40.76663814,-73.95348296,305,E 58 St & 3 Ave,40.76095756,-73.96724467,36974,Customer,1988,1,8/1/2020,8/1/2020
1736,07:50.0,36:46.4,3942,Broadway & W 133 St,40.8190344,-73.956156,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,32811,Customer,1995,2,8/1/2020,8/1/2020
4149,13:13.6,22:23.4,358,Christopher St & Greenwich St,40.73291553,-74.00711384,4009,Riverside Dr & W 145 St,40.827305,-73.951989,38677,Customer,1983,1,8/1/2020,8/1/2020
877,19:14.5,33:51.6,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3152,3 Ave & E 71 St,40.76873687,-73.96119945,17999,Customer,1998,1,8/1/2020,8/1/2020
2067,27:38.6,02:06.3,3477,39 St & 2 Ave,40.65539977,-74.01062787,3599,Franklin Ave & Empire Blvd,40.66314,-73.9605695,25283,Customer,1969,0,8/1/2020,8/1/2020
1768,45:56.7,15:25.7,3737,Stanton St & Norfolk St,40.720747,-73.986274,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,39343,Customer,1990,2,8/1/2020,8/1/2020
418,52:00.6,58:59.4,3523,24 Ave & 29 St,40.7729,-73.916142,3614,Crescent St & 30 Ave,40.768692,-73.9249574,31892,Subscriber,1989,2,8/1/2020,8/1/2020
595,59:08.1,09:03.8,4010,W 145 St & Amsterdam Ave,40.825244,-73.947257,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,40384,Customer,1969,0,8/1/2020,8/1/2020
716,21:34.8,33:31.3,394,E 9 St & Avenue C,40.72521311,-73.97768752,312,Allen St & Stanton St,40.722055,-73.989111,32526,Subscriber,1993,1,8/1/2020,8/1/2020
2085,47:18.3,22:03.9,3437,Riverside Dr & W 91 St,40.79313481,-73.97700369,4014,Riverside Dr & W 148 St,40.829114,-73.950426,30376,Customer,1969,0,8/1/2020,8/1/2020
170,07:10.0,10:01.0,212,W 16 St & The High Line,40.74334935,-74.00681753,3472,W 15 St & 10 Ave,40.74275383,-74.00747359,29349,Subscriber,1969,1,8/1/2020,8/1/2020
375,44:05.6,50:21.4,3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,3896,Madison St & Seneca Ave,40.70183,-73.90625,36918,Subscriber,1986,1,8/1/2020,8/1/2020
697,49:15.5,00:52.6,3773,Knickerbocker Ave & Thames St,40.70539,-73.92976,3082,Hope St & Union Ave,40.71167351,-73.95141312,34263,Customer,1969,0,8/1/2020,8/1/2020
972,11:33.0,27:45.7,3435,Grand St & Elizabeth St,40.718822,-73.99596,389,Broadway & Berry St,40.71044554,-73.96525063,40210,Subscriber,1982,1,8/1/2020,8/1/2020
893,18:08.6,33:02.0,247,Perry St & Bleecker St,40.73535398,-74.00483091,525,W 34 St & 11 Ave,40.75594159,-74.0021163,41413,Subscriber,1984,1,8/1/2020,8/1/2020
1004,39:00.6,55:44.9,3081,Graham Ave & Grand St,40.711863,-73.944024,497,E 17 St & Broadway,40.73704984,-73.99009296,36974,Subscriber,1985,1,8/1/2020,8/1/2020
471,45:13.8,53:05.5,401,Allen St & Rivington St,40.72019576,-73.98997825,445,E 10 St & Avenue A,40.72740794,-73.98142006,34243,Subscriber,1993,2,8/1/2020,8/1/2020
378,12:26.4,18:44.8,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,43975,Customer,1989,1,8/1/2020,8/1/2020
179,50:41.6,53:41.2,509,9 Ave & W 22 St,40.7454973,-74.00197139,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,19412,Subscriber,1998,1,8/1/2020,8/1/2020
529,11:10.6,19:59.6,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,3405,5 St & 6 Ave,40.6704836,-73.98208968,14595,Subscriber,1981,1,8/1/2020,8/1/2020
1173,33:31.1,53:04.5,3467,W Broadway & Spring St,40.72494672,-74.00165856,3378,E 76 St & Park Ave,40.773763,-73.96222088,36022,Subscriber,1976,1,8/1/2020,8/1/2020
422,44:06.4,51:09.0,3295,Central Park W & W 96 St,40.79127,-73.964839,3520,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,30693,Subscriber,1982,1,8/1/2020,8/1/2020
3635,08:51.4,09:26.5,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,40447,Customer,1969,0,8/1/2020,8/1/2020
1102,16:59.5,35:22.1,3610,Vernon Blvd & 30 Rd,40.770845,-73.934171,3573,35 St & 34 Ave,40.7580583,-73.9242751,44824,Subscriber,1985,2,8/1/2020,8/1/2020
1628,21:17.8,48:26.0,3318,2 Ave & E 96 St,40.7839636,-73.9471673,478,11 Ave & W 41 St,40.76030096,-73.99884222,37239,Subscriber,1991,1,8/1/2020,8/1/2020
428,26:40.3,33:49.0,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,237,E 11 St & 2 Ave,40.73047309,-73.98672378,41038,Subscriber,1996,2,8/1/2020,8/1/2020
