tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
315,00:29.6,05:44.8,4024,Macombs Pl & W 152 St,40.826406,-73.937948,3967,W 146 St & Broadway,40.826969,-73.949738,36631,Customer,1969,0,9/1/2020,9/1/2020
743,10:14.3,22:38.3,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,3298,Warren St & Court St,40.686371,-73.99383324,37841,Subscriber,1990,1,9/1/2020,9/1/2020
1192,29:22.0,49:14.6,455,1 Ave & E 44 St,40.75001986,-73.96905301,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,43218,Customer,1987,2,9/1/2020,9/1/2020
1566,27:02.2,53:08.7,4088,Nelson Ave & W 172 St,40.843965,-73.920999,3972,E 158 St & Melrose Ave,40.822215,-73.914688,44534,Customer,1969,0,9/1/2020,9/1/2020
276,25:24.4,30:01.3,4051,W 160 St & St. Nicholas Ave,40.834468,-73.939865,4012,W 148 St & Amsterdam Ave,40.827075,-73.945909,36016,Customer,1999,1,9/1/2020,9/1/2020
427,46:02.3,53:10.1,3158,W 63 St & Broadway,40.77163851,-73.98261428,448,W 37 St & 10 Ave,40.75660359,-73.9979009,35783,Customer,1969,0,9/1/2020,9/1/2020
636,35:46.5,46:23.1,536,1 Ave & E 30 St,40.74144387,-73.97536082,3156,E 72 St & York Ave,40.76663814,-73.95348296,36348,Subscriber,1981,1,9/1/2020,9/1/2020
216,38:48.7,42:25.6,4045,West End Ave & W 60 St,40.77237,-73.99005,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,35752,Subscriber,1988,1,9/1/2020,9/1/2020
634,42:25.8,53:00.7,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,36796,Subscriber,1988,2,9/1/2020,9/1/2020
622,42:35.8,52:58.4,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,261,Johnson St & Gold St,40.69474881,-73.98362464,45198,Customer,1966,2,9/1/2020,9/1/2020
993,47:27.5,04:01.3,478,11 Ave & W 41 St,40.76030096,-73.99884222,3141,1 Ave & E 68 St,40.76500525,-73.95818491,17590,Subscriber,1998,2,9/1/2020,9/1/2020
117,47:46.4,49:43.5,3303,Butler St & Court St,40.6849894,-73.99440329,3329,Degraw St & Smith St,40.6829151,-73.99318208,16607,Subscriber,1968,2,9/1/2020,9/1/2020
1773,13:53.0,43:26.1,3456,Jackson St & Leonard St,40.71638032,-73.94821286,468,Broadway & W 56 St,40.7652654,-73.98192338,37793,Subscriber,1989,1,9/1/2020,9/1/2020
307,17:20.5,22:27.9,2008,Little West St & 1 Pl,40.70569254,-74.01677685,426,West St & Chambers St,40.71754834,-74.01322069,43379,Subscriber,1972,1,9/1/2020,9/1/2020
1484,17:31.5,42:16.2,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3156,E 72 St & York Ave,40.76663814,-73.95348296,40072,Subscriber,1991,2,9/1/2020,9/1/2020
1276,32:16.1,53:32.9,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,3123,31 St & Thomson Ave,40.74469738,-73.93540375,26824,Subscriber,1971,1,9/1/2020,9/1/2020
985,34:11.7,50:37.3,3293,W 92 St & Broadway,40.7921,-73.9739,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,45336,Subscriber,1992,2,9/1/2020,9/1/2020
63,39:29.1,40:32.9,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,46796,Subscriber,1996,1,9/1/2020,9/1/2020
791,39:36.3,52:47.5,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,3689,W 104 St & Amsterdam Ave,40.79904139,-73.9664948,20333,Subscriber,1994,2,9/1/2020,9/1/2020
1386,40:49.2,03:55.5,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,3156,E 72 St & York Ave,40.76663814,-73.95348296,33959,Subscriber,1973,2,9/1/2020,9/1/2020
684,44:29.9,55:54.3,427,Bus Slip & State St,40.701907,-74.013942,426,West St & Chambers St,40.71754834,-74.01322069,43513,Subscriber,1985,1,9/1/2020,9/1/2020
400,56:10.5,02:50.8,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,46207,Subscriber,1968,1,9/1/2020,9/1/2020
602,58:49.6,08:52.5,379,W 31 St & 7 Ave,40.749156,-73.9916,2012,E 27 St & 1 Ave,40.739445,-73.976806,19778,Subscriber,1981,1,9/1/2020,9/1/2020
