tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
2102,14:08.8,49:10.9,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,3142,1 Ave & E 62 St,40.7612274,-73.96094022,36653,Subscriber,1986,2,5/1/2020,5/1/2020
1968,15:51.4,48:39.6,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,3691,28 Ave & 44 St,40.76408932,-73.91065121,42946,Subscriber,1982,1,5/1/2020,5/1/2020
135,58:16.5,00:32.3,3646,35 Ave & 10 St,40.76315482,-73.9398551,3588,Vernon Blvd & 10 St,40.7671863,-73.9373554,36295,Customer,2000,1,5/1/2020,5/1/2020
413,18:08.3,25:02.0,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3780,Wyckoff Av & Stanhope St,40.703545,-73.917775,16669,Subscriber,1983,2,5/1/2020,5/1/2020
340,42:34.3,48:14.4,509,9 Ave & W 22 St,40.7454973,-74.00197139,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,40960,Subscriber,1979,1,5/1/2020,5/1/2020
897,47:11.3,02:08.4,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,42618,Subscriber,1991,2,5/1/2020,5/1/2020
1163,48:48.6,08:12.0,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,368,Carmine St & 6 Ave,40.73038599,-74.00214988,43615,Customer,1968,2,5/1/2020,5/1/2020
68,20:45.7,21:54.7,496,E 16 St & 5 Ave,40.73726186,-73.99238967,497,E 17 St & Broadway,40.73704984,-73.99009296,20644,Subscriber,1968,1,5/1/2020,5/1/2020
110,31:00.3,32:51.2,3503,Madison Ave & E 120 St,40.80295,-73.942954,3507,Park Ave & E 124 St,40.8045555,-73.9396861,40085,Subscriber,1987,1,5/1/2020,5/1/2020
907,46:59.9,02:07.2,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,285,Broadway & E 14 St,40.73454567,-73.99074142,38731,Customer,1990,2,5/1/2020,5/1/2020
337,55:40.9,01:18.7,518,E 39 St & 2 Ave,40.74780373,-73.9734419,476,E 31 St & 3 Ave,40.74394314,-73.97966069,29054,Subscriber,2000,1,5/1/2020,5/1/2020
2593,43:04.1,26:17.1,3906,West St & Liberty St,40.711444,-74.014847,360,William St & Pine St,40.70717936,-74.00887308,43626,Customer,1969,0,5/1/2020,5/1/2020
1735,30:31.3,59:27.2,3141,1 Ave & E 68 St,40.76500525,-73.95818491,412,Forsyth St & Canal St,40.7158155,-73.99422366,33046,Subscriber,1978,1,5/1/2020,5/1/2020
2161,38:31.2,14:32.8,3331,Riverside Dr & W 104 St,40.8013434,-73.97114574,2012,E 27 St & 1 Ave,40.739445,-73.976806,39709,Subscriber,1977,1,5/1/2020,5/1/2020
1004,42:17.1,59:01.6,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3231,E 67 St & Park Ave,40.7678008,-73.96592081,27732,Subscriber,1976,1,5/1/2020,5/1/2020
248,06:51.4,10:59.5,402,Broadway & E 22 St,40.7403432,-73.98955109,223,W 13 St & 7 Ave,40.73781509,-73.99994661,33599,Subscriber,1995,1,5/1/2020,5/1/2020
172,07:41.3,10:34.2,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,39826,Subscriber,1962,1,5/1/2020,5/1/2020
392,10:42.8,17:15.2,3766,Sharon St & Olive St,40.715353,-73.93856,3082,Hope St & Union Ave,40.71167351,-73.95141312,36139,Subscriber,1989,1,5/1/2020,5/1/2020
946,15:34.9,31:21.7,3302,Columbus Ave & W 103 St,40.7969347,-73.96434123,495,W 47 St & 10 Ave,40.76269882,-73.99301222,36355,Customer,1987,1,5/1/2020,5/1/2020
312,34:37.2,39:49.9,291,Madison St & Montgomery St,40.713126,-73.984844,361,Allen St & Hester St,40.71605866,-73.99190759,16725,Subscriber,1996,1,5/1/2020,5/1/2020
2257,47:40.5,25:17.9,325,E 19 St & 3 Ave,40.73624527,-73.98473765,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,36604,Subscriber,1989,1,5/1/2020,5/1/2020
