tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
282,21:07.3,25:50.2,3707,Lexington Ave & E 26 St,40.741459,-73.983293,466,W 25 St & 6 Ave,40.74395411,-73.99144871,28030,Subscriber,1997,1,1/1/2020,1/1/2020
220,38:44.1,42:24.4,3391,E 106 St & 1 Ave,40.7892529,-73.93956237,3424,E 106 St & Lexington Ave,40.791976,-73.945993,32420,Subscriber,1988,2,1/1/2020,1/1/2020
1340,44:45.3,07:06.2,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,3852,Stewart Ave & Johnson Ave,40.70869,-73.92587,18670,Subscriber,1992,1,1/1/2020,1/1/2020
1167,54:39.6,14:07.1,3165,Central Park West & W 72 St,40.77579377,-73.97620574,514,12 Ave & W 40 St,40.76087502,-74.00277668,19770,Subscriber,1983,1,1/1/2020,1/1/2020
887,58:55.4,13:43.1,3828,Eldert St & Bushwick Ave,40.68652,-73.91321,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,38303,Subscriber,1987,1,1/1/2020,1/1/2020
809,04:24.3,17:53.9,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3350,W 100 St & Broadway,40.7973721,-73.97041192,39711,Subscriber,1989,1,1/1/2020,1/1/2020
1131,47:20.6,06:12.6,3815,E 51 St & 2 Ave,40.755293,-73.967641,461,E 20 St & 2 Ave,40.73587678,-73.98205027,28368,Subscriber,1989,2,1/1/2020,1/1/2020
940,04:09.2,19:49.7,3289,W 90 St & Amsterdam Ave,40.79017948,-73.97288918,3290,E 89 St & York Ave,40.7779453,-73.946041,34062,Subscriber,1974,1,1/1/2020,1/1/2020
672,12:02.8,23:15.7,459,W 20 St & 11 Ave,40.746745,-74.007756,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,20057,Subscriber,1972,1,1/1/2020,1/1/2020
1284,29:36.2,51:00.9,3163,Central Park West & W 68 St,40.7734066,-73.97782542,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19955,Subscriber,1969,1,1/1/2020,1/1/2020
333,33:40.7,39:13.7,317,E 6 St & Avenue B,40.72453734,-73.98185424,311,Norfolk St & Broome St,40.7172274,-73.98802084,18922,Subscriber,1993,1,1/1/2020,1/1/2020
1431,34:07.5,57:59.2,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,27657,Subscriber,1992,1,1/1/2020,1/1/2020
220,36:51.5,40:31.6,79,Franklin St & W Broadway,40.71911552,-74.00666661,309,Murray St & West St,40.7149787,-74.013012,17310,Subscriber,1990,1,1/1/2020,1/1/2020
378,43:50.8,50:09.7,362,Broadway & W 37 St,40.75172632,-73.98753523,519,Pershing Square North,40.751873,-73.977706,21309,Subscriber,1996,1,1/1/2020,1/1/2020
189,49:45.4,52:55.1,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,39530,Subscriber,1990,1,1/1/2020,1/1/2020
432,16:42.4,23:54.9,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,3350,W 100 St & Broadway,40.7973721,-73.97041192,41144,Subscriber,2001,1,1/1/2020,1/1/2020
436,19:46.5,27:03.0,403,E 2 St & 2 Ave,40.72502876,-73.99069656,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,41480,Subscriber,1981,1,1/1/2020,1/1/2020
204,02:47.6,06:11.6,411,E 6 St & Avenue D,40.72228087,-73.97668709,317,E 6 St & Avenue B,40.72453734,-73.98185424,39911,Subscriber,1982,1,1/1/2020,1/1/2020
166,15:25.1,18:12.0,3318,2 Ave & E 96 St,40.7839636,-73.9471673,3318,2 Ave & E 96 St,40.7839636,-73.9471673,17265,Subscriber,1991,1,1/1/2020,1/1/2020
1833,19:02.4,49:36.1,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,3293,W 92 St & Broadway,40.7921,-73.9739,41161,Subscriber,1969,1,1/1/2020,1/1/2020
318,55:34.8,00:53.1,3799,6 Ave & W 34 St,40.74964,-73.98805,3441,10 Hudson Yards,40.752957,-74.00264,41682,Subscriber,1993,1,1/1/2020,1/1/2020
397,39:19.1,45:56.5,296,Division St & Bowery (old),40.71413089,-73.9970468,340,Madison St & Clinton St,40.71269042,-73.98776323,40558,Subscriber,1944,1,1/1/2020,1/1/2020
982,41:56.4,58:19.3,3493,E 118 St & 3 Ave,40.799139,-73.9389152,3375,3 Ave & E 72 St,40.7699426,-73.96060712,15829,Subscriber,1985,1,1/1/2020,1/1/2020
233,29:03.2,32:57.1,228,E 48 St & 3 Ave,40.7546011,-73.97187886,454,E 51 St & 1 Ave,40.75455731,-73.96592976,42035,Subscriber,1969,0,1/1/2020,1/1/2020
