tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
2209,16:11.8,53:01.4,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3453,Devoe St & Lorimer St,40.71335226,-73.94910336,37459,Subscriber,1975,1,4/1/2020,4/1/2020
409,10:09.3,16:59.0,494,W 26 St & 8 Ave,40.74734825,-73.99723551,434,9 Ave & W 18 St,40.74317449,-74.00366443,43669,Subscriber,1961,1,4/1/2020,4/1/2020
231,37:45.8,41:36.8,403,E 2 St & 2 Ave,40.72502876,-73.99069656,317,E 6 St & Avenue B,40.72453734,-73.98185424,18845,Subscriber,1965,1,4/1/2020,4/1/2020
570,59:43.1,09:13.8,346,Bank St & Hudson St,40.73652889,-74.00618026,309,Murray St & West St,40.7149787,-74.013012,43378,Subscriber,1992,1,4/1/2020,4/1/2020
679,28:46.0,40:05.2,250,Lafayette St & Jersey St,40.72456089,-73.99565293,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,37326,Subscriber,1988,1,4/1/2020,4/1/2020
389,34:51.6,41:21.4,492,W 33 St & 7 Ave,40.75019995,-73.99093085,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,41919,Subscriber,1966,1,4/1/2020,4/1/2020
709,00:30.9,12:20.3,383,Greenwich Ave & Charles St,40.735238,-74.000271,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,40247,Subscriber,1991,1,4/1/2020,4/1/2020
1952,05:33.3,38:06.0,3572,34 Ave & 38 St,40.756913,-73.921631,3152,3 Ave & E 71 St,40.76873687,-73.96119945,35193,Subscriber,1980,1,4/1/2020,4/1/2020
928,23:20.1,38:48.8,3533,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,3338,2 Ave & E 99 St,40.7862586,-73.94552579,41773,Subscriber,1975,2,4/1/2020,4/1/2020
568,28:38.0,38:06.5,505,6 Ave & W 33 St,40.74901271,-73.98848395,536,1 Ave & E 30 St,40.74144387,-73.97536082,15469,Subscriber,1985,2,4/1/2020,4/1/2020
146,28:51.0,31:17.3,394,E 9 St & Avenue C,40.72521311,-73.97768752,411,E 6 St & Avenue D,40.72228087,-73.97668709,43204,Subscriber,1997,2,4/1/2020,4/1/2020
363,31:54.0,37:57.5,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3328,W 100 St & Manhattan Ave,40.795,-73.9645,39533,Subscriber,1979,1,4/1/2020,4/1/2020
1186,37:05.7,56:52.3,492,W 33 St & 7 Ave,40.75019995,-73.99093085,3141,1 Ave & E 68 St,40.76500525,-73.95818491,43373,Subscriber,1987,1,4/1/2020,4/1/2020
1127,38:05.3,56:52.9,532,S 5 Pl & S 5 St,40.710451,-73.960876,3746,6 Ave & Broome St,40.72430832,-74.00473036,39384,Subscriber,1977,1,4/1/2020,4/1/2020
16694,41:32.2,19:46.7,3545,Broadway & W 122 St,40.8120562,-73.9612547,3545,Broadway & W 122 St,40.8120562,-73.9612547,33224,Subscriber,1963,2,4/1/2020,4/1/2020
867,41:41.6,56:09.1,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,14878,Customer,1984,1,4/1/2020,4/1/2020
786,50:24.5,03:31.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,359,E 47 St & Park Ave,40.75510267,-73.97498696,39202,Subscriber,1985,1,4/1/2020,4/1/2020
611,53:10.7,03:22.4,502,Henry St & Grand St,40.714211,-73.981095,316,Fulton St & William St,40.70955958,-74.00653609,21018,Subscriber,1959,1,4/1/2020,4/1/2020
1191,54:50.5,14:42.4,3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,3320,Central Park West & W 100 St,40.79406661,-73.96286845,16307,Customer,1969,0,4/1/2020,4/1/2020
251,57:09.5,01:21.3,3690,Park Pl & Church St,40.71334184,-74.00935516,363,West Thames St,40.70834698,-74.01713445,31549,Subscriber,1995,2,4/1/2020,4/1/2020
1419,00:42.7,24:22.3,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,368,Carmine St & 6 Ave,40.73038599,-74.00214988,40281,Customer,1968,2,4/1/2020,4/1/2020
918,15:33.2,30:51.5,517,Pershing Square South,40.751581,-73.97791,3555,28 St & 41 Ave,40.751047,-73.93797,36324,Subscriber,1979,1,4/1/2020,4/1/2020
634,22:41.2,33:15.7,532,S 5 Pl & S 5 St,40.710451,-73.960876,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,43762,Subscriber,1986,2,4/1/2020,4/1/2020
1502,24:56.4,49:59.0,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,291,Madison St & Montgomery St,40.713126,-73.984844,33915,Subscriber,1970,1,4/1/2020,4/1/2020
1885,38:12.7,09:38.3,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3231,E 67 St & Park Ave,40.7678008,-73.96592081,14835,Subscriber,1985,1,4/1/2020,4/1/2020
1363,41:16.9,04:00.6,532,S 5 Pl & S 5 St,40.710451,-73.960876,536,1 Ave & E 30 St,40.74144387,-73.97536082,43077,Subscriber,1986,1,4/1/2020,4/1/2020
963,54:36.2,10:39.5,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,453,W 22 St & 8 Ave,40.74475148,-73.99915362,19304,Subscriber,1969,2,4/1/2020,4/1/2020
1950,56:19.0,28:49.2,355,Bayard St & Baxter St,40.71602118,-73.99974372,2022,E 60 St & York Ave,40.759107,-73.959223,31783,Subscriber,1986,2,4/1/2020,4/1/2020
278,02:41.1,07:20.0,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,228,E 48 St & 3 Ave,40.7546011,-73.97187886,33867,Subscriber,1962,1,4/1/2020,4/1/2020
461,03:46.0,11:27.3,3378,E 76 St & Park Ave,40.773763,-73.96222088,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,36104,Subscriber,1972,1,4/1/2020,4/1/2020
492,06:13.9,14:26.9,530,11 Ave & W 59 St,40.77149671,-73.99046034,530,11 Ave & W 59 St,40.77149671,-73.99046034,43348,Subscriber,1964,1,4/1/2020,4/1/2020
1830,16:51.0,47:21.3,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3375,3 Ave & E 72 St,40.7699426,-73.96060712,38702,Subscriber,1979,1,4/1/2020,4/1/2020
376,18:09.8,24:25.9,167,E 39 St & 3 Ave,40.7489006,-73.97604882,402,Broadway & E 22 St,40.7403432,-73.98955109,37420,Subscriber,1989,1,4/1/2020,4/1/2020
1632,33:36.7,00:49.1,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3746,6 Ave & Broome St,40.72430832,-74.00473036,40222,Subscriber,1992,1,4/1/2020,4/1/2020
222,43:45.2,47:27.9,3317,10 St & 5 Ave,40.6686273,-73.98700053,3313,6 Ave & 12 St,40.6663181,-73.9854617,43775,Subscriber,1966,1,4/1/2020,4/1/2020
411,44:37.9,51:29.6,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,33403,Subscriber,1994,1,4/1/2020,4/1/2020
806,50:38.1,04:04.3,342,Columbia St & Rivington St,40.71739973,-73.98016555,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,43086,Subscriber,1946,1,4/1/2020,4/1/2020
352,58:23.0,04:15.8,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,3282,5 Ave & E 88 St,40.78307,-73.95939,42673,Subscriber,1979,1,4/1/2020,4/1/2020
2950,04:37.6,53:47.9,3881,12 Ave & W 125 St,40.818299,-73.960405,128,MacDougal St & Prince St,40.72710258,-74.00297088,33619,Subscriber,1989,2,4/1/2020,4/1/2020
706,04:51.5,16:38.1,3876,Forest Ave & Summerfield St,40.69922,-73.89795,3876,Forest Ave & Summerfield St,40.69922,-73.89795,39530,Subscriber,1992,1,4/1/2020,4/1/2020
181,25:14.3,28:15.9,331,Pike St & Monroe St,40.71173107,-73.99193043,3786,Division St & Bowery,40.714193,-73.996732,21567,Subscriber,1988,2,4/1/2020,4/1/2020
187,26:22.6,29:29.8,334,W 20 St & 7 Ave,40.74238787,-73.99726235,3739,Perry St & Greenwich Ave,40.735918,-74.000939,29911,Subscriber,1979,1,4/1/2020,4/1/2020
188,29:02.6,32:11.3,3350,W 100 St & Broadway,40.7973721,-73.97041192,3320,Central Park West & W 100 St,40.79406661,-73.96286845,33346,Subscriber,1962,1,4/1/2020,4/1/2020
1205,32:13.5,52:18.6,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,30649,Customer,1999,1,4/1/2020,4/1/2020
801,37:54.3,51:15.4,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,3145,E 84 St & Park Ave,40.77862688,-73.95772073,36537,Subscriber,1979,1,4/1/2020,4/1/2020
586,59:43.4,09:30.1,453,W 22 St & 8 Ave,40.74475148,-73.99915362,483,E 12 St & 3 Ave,40.73223272,-73.98889957,18006,Customer,1987,1,4/1/2020,4/1/2020
794,12:49.2,26:04.0,2003,1 Ave & E 18 St,40.73381219,-73.98054421,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,41197,Subscriber,1998,1,4/1/2020,4/1/2020
